Nombre,Precio de venta,costo
Jabon Ace 500 g,75,22
Ariel Poder Y Cuidado 850G,47,44
Ariel Bolsa 500gms,28,25
Roma 1k,47,44
Roma 500g,44,41
Roma 250g,15,12
blanca nieves 1kg,47,44
carisma 1k,50,47
salvo multiusos 250g,18,15
salvo 215g,18,15
JABON ZOTE BLANCO 400G,28,25
Jabon Zote Rosa 400g,28,25
carisma 400g,28,25
roma 400g,25,22
floral 350g,27,24
tepeyac 400g,28,25
tepeyac chico,17,14
tepeyac tocador lila,20,17
Jabon Zest Aqua,19,16
PALMOLIVE NATURALS 120GRS,17,14
palmolive neutro 100g,17,14
La Moderna Fideos1 200g,10,7
Sopa Moderna Codo N3 200g,10,7
La Moderna Corbata 200g,10,7
la moderna moño grande 200g,10,7
la moderna almeja 200g,10,7
La Moderna Estrella 200g,10,7
La Moderna Municion 200g,10,7
la moderna tornillo 200g,10,7
Sopa Moderna Lengua 20g,10,7
La Moderna Spaghetti 200g,10,7
encendedores,10,7
Veladora Virgen Vaso Gr,25,23
Tostadas Loma Linda 50 Piezas,55,51
Tostada Loma Linda Ch,35,32
tostada tapatia 300g,36,33
Saba Nocturna 8pz,28,25
naturella nocturna 8 toallas,26,23
naturella con alas,22,19
toalla grande fibra,19,10
escoba perico colores,67,62
escoba ilusion,55,50
escoba golden extra suave,65,62
cepillo crico duro,60,55
escoba perico,67,62
mechudo pabilo,68,62
mechudo microfibra colores,98,90
mechudo microfibra,98,90
jalador,36,30
monarca verde,14,10
fibra con ajax,25,21
pinzas para ropa,28,25
fibra espiral,8,6
cepillo economico,20,17
cepillo perico,22,19
plancha turbo cepillo,32,29
Limpia Hornos Mony 470 G,32,29
sasa,45,35
Bomba Para Lavabo,98,80
bomba escusado,20,17
lazo 15mt,34,31
lazo economico,26,23
cepillo WC,45,42
jerga economica,32,29
franela para piso con logo,25,22
trapeador microfibra,26,22
paquete trapos microfibra,60,55
cualitela,16,13
escobetilla,18,15
escobetilla natural,18,15
gancho ropa economico,32,29
fregon,12,10
zacate,5,4
estropajo baño,20,17
esponja para carro,12,10
Fibra Scotch Brite,35,32
atomizador gusano,16,13
Aromatizante mony lavanda,18,15
rastrillo gillete 3 hojas,22,19
rastrillo 3 hojas,15,12
coca 3 lt retornable,41,38
coca 3 lt desechable,51,48
Coca Cola 2.25 L,47,44
Coca Cola 1.75,37,34
coca 1.35 lt desechable,32,29
cereal en bolsa 250g,20,17
encendedor galaxy,36,33
trompos cometa,38,35
guantes dermacare verdes,36,32
fregon dona,24,22
bandejas grande,26,13
