Nombre,Precio Venta
Coca Cola Vidrio 12,17.00
Coca Cola 2.25 L,12.00
Coca Cola 400ml,13.00
Coca Cola Lata 473 Ml,23.00
Coca Cola 3L,14.00
Coca Cola 400ml,17.00
Coca Cola Vidrio 12,17.00
CocaCola 600 ml,23.00
coca 3 lt retornable,24.00
Coca Cola 1.35,31.00
Coca Cola 1.75,36.00
coca 3 lt retornable,36.00
Coca Cola 2.25 L,47.00
Coca Cola 2.25 L,51.00
Coca Cola 3L,51.00
coca 3 lt retornable,41.00
Coca Cola Lata 473 Ml,22.00
Coca Cola Lata 473 Ml,9.00
Coca Cola Light 600ml,19.00
Coca Cola Sin Azucar 2lt Retornable,26.00
Coca Cola Sin Azucar 2.5 Lts,38.00
Coca Cola Lata 473 Ml,22.00
Coca Cola Light 600ml,15.00
Coca Cola Light 600ml,22.00
Coca Cola Light 2L,30.00
Coca Cola Light 2L,46.00
Fanta Naranja 355 ml,9.00
Fanta 500 ml Vidrio,17.00
Boing Naranja 500ml,21.00
Fanta 3 L,26.00
Fanta 2 1/2 Retornable,34.00
Fanta 2 1/2 Retornable,38.00
Fanta 3 L,46.00
Fresca Lata 235,9.00
Fresca 3 L,9.00
Fresca 2 1/2 Retornable,17.00
Soda Fresca 600ml,21.00
Fresca 3 L,26.00
Fresca 2 1/2 Retornable,34.00
Fresca 2 1/2 Retornable,38.00
Fresca 3 L,46.00
Fresca 3 L,38.00
Fresca Fusion 600ml,21.00
Sprite 3l,9.00
Soda Sprite 600ml,21.00
Sprite De 25L,26.00
Sprite 2lt Retornable,34.00
Sprite 3l,46.00
Sidral Mundet 3 L,9.00
Sidral Mundet 600 Ml,17.00
Sidral Mundet 600 Ml,21.00
Sidral Mundet 3 L,26.00
Sidral Mundet 3 L,34.00
coca 3 lt retornable,38.00
Sidral 3lts,46.00
Agua Ciel 600ml,14.00
Agua Ciel De 1 L,17.00
Agua Ciel De 1 L,23.00
Agua Ciel De 1 L,20.00
Agua Ciel De 1 L,40.00
Agua Ciel De 1 L,49.00
Agua Mineral Ciel,20.00
Agua Natural Ciel 15 Lt,34.00
Agua Mineral Ciel,32.00
Victoria Grosella 3 L,11.00
Sabor Victoria 500,17.00
Victoria Manzana 600ml,21.00
Victoria Grosella 3 L,26.00
Victoria Piña 600ml,34.00
Victoria Fresa 2.5lts Retornable,38.00
Victoria Manzana 3 L,46.00
Agua Ciel De 1 L,16.00
Delaware Punch 2 L,11.00
Delaware Punch 600ml,21.00
Delaware Punch 2 L,34.00
Delaware Punch 2 L,46.00
Del Valle Durazno 250ml tetrapack,14.00
Del Valle Botellin 237 ml Durano,14.00
Del Valle Vidrio 413 ml Mango,23.00
Megalata Del Valle Mango 453 ml,23.00
Del Valle 500 ml uva,18.00
Jugo Del Valle Manzana 413ml,32.00
Jugo Del Valle Manzana 413ml,34.00
Del Valle Fizz Lata 235 ml,9.00
Del Valle Frut 3 L,21.00
Del Valle Fizz 2lt,34.00
Frutsi Uva 250ml,9.00
Del Valle Frut 3 L,14.00
Valle Frut Mandarina 600ML,17.00
Valle Frut Mandarina 600ML,21.00
Del Valle Frut 3 L,26.00
Valle Frut 2l Citrus,34.00
Valle Frut 2.5lts Retornable,38.00
Del Valle Frut 3 L,46.00
Fuze Tea Durazno 600ml,23.00
Powerade Moras 500ml,27.00
Powerade Moras 600ml,29.00
Powerade Moras 1 Lt,36.00
Santa Clara Lechita chocolate,vainilla
Santa Clara Beyond chocolate,vainilla
Leche Santa Clara Entera 1L,35.00
Leche Santa Clara Deslactosada 1L,36.00
Garrafon Ciel 20 lts,59.00
Monster Verde 473 ml,40.00
Predator 473ml,23.00
Ades Manzana 200 ml,15.00
Clamato 946 Ml,35.00
Ades Soya 946 Ml,37.00
Ades Almendra 947 ml,45.00
Agua Topochico De 600Ml,22.00
Topo Chico 1.5 Lts,34.00
Topo Chico Hard Seltzer 355 Ml,36.00
Jack Daniels 355 ml,34.00
Pepsi 500ml Vidrio,14.00
Pepsi 250ml,20.00
Pepsi 1.75l,28.00
Pepsi 355 ml Vidrio,17.00
Pepsi Lata 355 ml,21.00
Pepsi Black 355 Ml,16.00
Pepsi 3L,16.00
Pepsi 250ml,37.00
Pepsi Retornable 2.5l,36.00
Pepsi 250ml,16.00
Pepsi 250ml,18.00
Pepsi 3L,41.00
Pepsi 600 Ml04,16.00
Pepsi 600 Ml04,21.00
Pepsi 600 Ml04,19.00
Pepsi 250ml,18.00
Pepsi 600 Ml04,20.00
7 Up 1.75 Ml,26.00
7 Up 500 ml Vidrio,14.00
7 Up 1.75 Ml,28.00
7 Up Retornable 355 ml,17.00
7UP Lata 355 ml,21.00
7 Up 3 L,16.00
7 Up 3 L,41.00
7 Up 600 Ml,16.00
7 Up 600 Ml,21.00
7UP Lata 235 ml,16.00
Canada Dry 355 ml,16.00
Canada Dry 2 Lt,34.00
Agua Mineral Canada Dry 1Lt,21.00
Agua Mineral Canada Dry Lata 355 ml,19.00
Agua Mineral Canada Dry 600 ml,21.00
MIX 1.75 LTS 4MIRRA/4MSOLRA/4-7UPRA PET 12,28.00
MIX 600 ML 4MIRRA/4MSOLRA/4-7UPRA PET 12,21.00
Agua epura 500 Ml,13.00
Agua epura 500 Ml,14.00
Agua epura 1l,17.00
Agua epura 1l,20.00
Agua epura 1l,25.00
Agua epura 1l,40.00
Agua epura 1l,48.00
Garrafon Epura 20lts,58.00
Be Light Limon 1Lts,21.00
Be Light Limon 1.5 lts,24.00
Gatorade Moras 500 Ml,24.00
Gatorade Ponche de frutas 600ml,30.00
Gatorade Moras 1 Lt,38.00
Gatorlyte Uva,22.00
MIX GATORADE 350 ML TP 4NJA/4MORAS/4LIMLIM PET 12,18.00
Lipton Te Verde 600ml,21.00
Jumex Fresh 400 ml Citrus,16.00
Jumex Fresh 600 ml,21.00
Jumex Fresh 2 Lts Citrus,33.00
Jumex Fresh 3lt,43.00
Jugo Cosecha Pura 1lt Naranja,29.00
Leche Alpura Clasica 1L,31.00
Leche Alpura Deslactosada 1 L,32.00
Leche Alpura Deslactosada 1 L,32.00
Leche Alpura Clasica 1L,31.00
Leche Alpura Deslactosada 1 L,45.00
Leche Alpura Clasica 1L,44.00
Leche Araceli Chocolate 900ml,12.00
Leche Alpura Vaquitas Fresa 200 ml,12.00
Leche Alpura Vaquitas Vainilla 200 ml,12.00
Alpura Chocolate 1L,33.00
Alpura Fresa 1L,33.00
Alpura Vainilla 1L,33.00
Alpura Lechero 315Ml,23.00
Nutrileche 1 L,22.00
Yogurt Liq Fresa Alpura 220 ml,18.00
Yogurt Liq Fresa Alpura 220 ml,18.00
