Nombre,Precio Venta
Pinol Original 828ML,17.00
Pinol Original 828ML,12.00
Pinol Original 828ML,13.00
Pinol Original 828ML,23.00
CC Original 355 ML Plástico NR,14.00
CC Original 400 ML Plástico NR,17.00
Cloralex 500ml,17.00
CC Original 600 ML Plástico NR,23.00
Pinol Original 828ML,24.00
coca 1.35 lt desechable,31.00
Plato Plastico N6,36.00
Pinol Original 828ML,36.00
Plato Plastico N6,47.00
Pinol Original 828ML,51.00
Plato Plastico N6,51.00
Plato Plastico N6,41.00
Donas Azucar 6 Pz,22.00
CC Sin Azucar 355 ML Plástico NR,9.00
CC Sin Azucar 600 ML Plástico NR,19.00
CC Sin Azucar 2 lt Plástico R,26.00
CC Sin Azucar 2.5 LT Plástico NR,38.00
Coca Cola Light 2L,22.00
Coca Cola Light 2L,15.00
Coca Cola Light 600ml,22.00
Plato Plastico N6,30.00
Plato Plastico N6,46.00
Fanta 3 L,9.00
Fanta 3 L,17.00
Soda Fanta 600ml,21.00
Plato Plastico N6,26.00
Plato Plastico N6,34.00
Plato Plastico N6,38.00
Plato Plastico N6,46.00
Fresca 3 L,9.00
Fresca 3 L,9.00
Fresca 3 L,17.00
Soda Fresca 600ml,21.00
Plato Plastico N6,26.00
Plato Plastico N6,34.00
Plato Plastico N6,38.00
Fresca 3 L,46.00
Plato Plastico N6,38.00
Plato Plastico N6,21.00
Plato Plastico N6,9.00
Soda Sprite 600ml,21.00
Plato Plastico N6,26.00
Plato Plastico N6,34.00
Plato Plastico N6,46.00
Sidral Aga 2.5 Ml,9.00
Sidral Aga 600ml,17.00
Sidral Aga 600ml,21.00
Plato Plastico N6,26.00
Sidral Aga 2.5 Ml,34.00
Sidral Aga 2.5 Ml,38.00
Plato Plastico N6,46.00
Plato Plastico N6,14.00
Plato Plastico N6,17.00
Plato Plastico N6,23.00
Plato Plastico N6,20.00
Plato Plastico N6,40.00
Plato Plastico N6,49.00
Colorfiel Negra 60ML,20.00
Ciel Mineralizada 2 Lt,34.00
Ciel Mineralizada 2 Lt,32.00
Victoria Grosella 3 L,11.00
Victoria Piña 600ml,17.00
Victoria Piña 600ml,21.00
Victoria Grosella 3 L,26.00
Victoria Grosella 3 L,34.00
Victoria Grosella 3 L,38.00
Victoria Grosella 3 L,46.00
Ciel Saborizada Sabores 1 LT Plástico NR,16.00
Plato Plastico N6,11.00
Delaware Punch 600ml,21.00
Plato Plastico N6,34.00
Plato Plastico N6,46.00
Minibrick Del Valle 250 ML TETRA PACK,14.00
Boing 250ml Fresa Te,14.00
Jugo Del Valle Manzana 413ml,23.00
Jumex Durazno Lata 473 Ml,23.00
Leche Qro Tetrapack 1 L,18.00
Leche Qro Tetrapack 1 L,32.00
Del Valle Frut 3 L,34.00
DV Fizz 235 ml Lata,9.00
Plato Plastico N6,21.00
Plato Plastico N6,34.00
Plato Plastico N6,9.00
Valle Frut 2l Citrus,14.00
Valle Frut 2l Citrus,17.00
Valle Frut 2l Citrus,21.00
Valle Frut 2l Citrus,26.00
Valle Frut 2l Citrus,34.00
Valle Frut 2l Citrus,38.00
Valle Frut 2l Citrus,46.00
Plato Plastico N6,23.00
Powerade sabores 500 ML Plástico NR,27.00
Gatorade Ponche de frutas 600ml,29.00
Plato Plastico N6,36.00
Araceli Chocolate,vainilla
Tinte Para Cabello 677 Chocolate,vainilla
Leche Santa Clara Entera 1L,35.00
Leche Santa Clara Deslactosada 1L,36.00
Garrafón Ciel 20 LT Plástico R,59.00
Monster Monster Sabores 473 ML Lata,40.00
Predator 473ml,23.00
Ades Sabores 200 ML Tetra Pack,15.00
Ades MZA- MANGO 946 ML Tetra Pack,35.00
Ades NAT SA 946 ML Tetra Pack,37.00
Ades Almendras 947 ML Tetra Pack,45.00
Agua Topochico De 600Ml,22.00
Plato Plastico N6,34.00
AlkaSeltzer 1pz,36.00
Jacks Daniels 12 OZ Lata,34.00
Pepsi 1.75l,14.00
Pepsi 1 1/2,20.00
Pepsi 1.75l,28.00
Pepsi 1.75l,17.00
Pepsi 1.75l,21.00
PEPSI BLACK 12 OZ PET 12 XD,16.00
Pepsi 1 1/2,16.00
Pepsi 250ml,37.00
Pepsi 250ml,36.00
Pepsi 250ml,16.00
Pepsi 250ml,18.00
Pepsi 3L,41.00
Pepsi 600 Ml04,16.00
Pepsi 600 Ml04,21.00
Pepsi 600 Ml04,19.00
PEPSI KICK SG 0.5 LTS PET 12,18.00
Pepsi 600 Ml04,20.00
7 Up 1.75 Ml,26.00
7 Up 1.75 Ml,14.00
7 Up 1.75 Ml,28.00
7 UP RA 12 OZ BC GRB 6,17.00
7 Up 1.75 Ml,21.00
E Pura Sport 1l,16.00
7 Up 3 L,41.00
7 Up 600 Ml,16.00
7 Up 600 Ml,21.00
7UP RA 237 ML LATA 6 PACK,16.00
CANADA DRY C.S. 12 OZ BC GRB 6,16.00
CANADA DRY C.S. 2 LTS PET 8,34.00
Gelatina D Gari Chocolate 120g,21.00
CANADA DRY G.A. 12 OZ LATA 24,19.00
