Nombre del Producto,Precio Venta,Costo
Sopa Maruchan CamChile,22,18.0
Sopa Maruchan Camaron,22,18.0
Sopa Maruchan Res,12,9.0
Sopa Maruchan Pollo,22,18.0
Pure De Tomate La Costeña 210g,13,10.0
Nescafe Olla Sobre,18,15.0
Nescafe Olla 3pz,3,1.8
Nescafe Clasico 28 G,15,12.0
Leche Alpura Clasica 1L,32,29.5
Leche Alpura Deslactosada 1 L,33,
Leche Santa Clara Entera 1L,34,
Leche Santa Clara Deslactosada 1L,38,32.0
Leche Nutri Clasica 1L,25,21.5
Salsa San Luis 1l,22,19.0
Salsa Valentina Negra,21,19.0
Maizena 160g,15,12.0
Te De Manzanilla Sobre C35,2,1.5
Nescafe Clasico 28 G,24,21.0
Harina De Trigo Selecta,35,32.0
Harina Para Hotcakes Gamesa 500g,33,30.0
Harina Arroz 500 G 3estrellas,45,41.0
Maseca,25,21.0
Harina De Trigo Selecta,27,23.0
Lechera De Bolsa 209 G,22,19.0
Lechera Nestle 375g,35,32.0
Leche Carnation 360ml,24,
Duraznos La Costeña 820g,69,65.0
Victoria Piña 600ml,60,55.0
Mermelada De Fresa Mc Cormick 270 Grs,35,31.0
Mermelada Fresa MC270g,19,16.0
Frijoles Isadora 430g,27,22.5
Frijoles Isadora 430g,22,20.0
Sardina Dolores 425g,45,41.0
Ensalada De Legumbres 400g,23,20.0
Grano De Elote La Costeña 410G,23,20.0
Elote Costea 220g,15,12.0
Chícharos 430g,23,20.0
Ensalada De Verduras,14,11.0
Chipotles Adobados 105g La Costeña,33,29.0
Chipotles Adobados 105g La Costeña,20,17.0
Rajas Jalapeo 820g,33,29.0
Rajas Jalapeo 820g,20,17.0
Chile Serrano Enteros 220gCoste,19,16.0
Ruffles Jalapeño Chicos,13,10.0
Takis Huakamole 70g.,55,50.0
Aceite 123 500ml,28,25.0
Aceite 123 Litro,48,42.0
Nutella 200gr,63,58.0
Tortillas De 1 Kg,22,20.0
Chocolate Morelia 445g,42,39.0
Chocolate Abuelita,23,20.0
Chocolate Chocomilk,6,
Tang Fresa,9,7.0
Arroz 7 Semillas,25,
Cacahuates Japones 67g.,16,13.0
Fabuloso Mar Fresco 1L,33,30.0
Fabuloso Mar Fresco 1L,32,29.0
Fabuloso Mar Fresco 1L,33,29.0
Fabuloso Frescura Activa 500ml,24,21.0
Pinol,30,27.0
Pinol Floral Rosa 828 Ml,29,26.0
Cloralex 950ml,20,17.0
Cloralex 950ml,18,15.0
Clarasol 1L,18,15.0
Ensueño Moras,28,25.0
Suavitel Cuidado Superior 850ML,30,27.0
Suavitel 850ml Fresc,29,26.0
Downy Aroma Floral 800ML,36,32.0
Downy Perfume Elegance,34,31.0
Paquete Papel  Vogue 4 Rollos,43,39.0
Servilleta Vogue 100pz,64,60.0
Servilletas por paquete,15,11.0
Jabon Zote Rosa 400g,37,34.0
Pasta Dent Colgate 50ml,35,31.0
Crest Pasta Dental 100ML,25,21.0
Gel Xtreme 250g Tran,32,28.0
Gel Ego Alfa,25,22.0
Shampoo Caprice Aceite Herbal,60,55.0
Sedal Crema Para Peinar 300ML,85,80.0
Shampoo Savile Chile 180,40,35.0
Vasos Por Pieza,17,14.0
Vaso Desechable Suelto,36,32.0
Charola Termica 855,27,22.0
Plato Plastico N6,16,13.0
Cucharas Madiana Max,12,9.5
Pepel Aluminio Tender 10m,16,12.0
Pepel Aluminio Tender 10m,38,33.0
